frequency of frequencies:    

C1 --> 58768
C2 --> 17482
C3 --> 9160
C4 --> 6037
C5 --> 4368
C6 --> 3240
C7 --> 2639
C8 --> 2208
C9 --> 1804
C10 --> 1492
C11 --> 1325
C12 --> 1232
C13 --> 973
C14 --> 922
C15 --> 799
C16 --> 758
C17 --> 663
C18 --> 636
C19 --> 588
C20 --> 554
C21 --> 482
C22 --> 453
C23 --> 460
C24 --> 380
C25 --> 352
C26 --> 391
C27 --> 346
C28 --> 304
C29 --> 275
C30 --> 309
C31 --> 261
C32 --> 265
C33 --> 230
C34 --> 277
C35 --> 249
C36 --> 192
C37 --> 195
C38 --> 190
C39 --> 178
C40 --> 167
C41 --> 156
C42 --> 143
C43 --> 155
C44 --> 136
C45 --> 133
C46 --> 141
C47 --> 138
C48 --> 131
C49 --> 123
C50 --> 123
C51 --> 135
C52 --> 98
C53 --> 114
C54 --> 117
C55 --> 98
C56 --> 87
C57 --> 83
C58 --> 100
C59 --> 98
C60 --> 104
C61 --> 78
C62 --> 88
C63 --> 87
C64 --> 74
C65 --> 103
C66 --> 90
C67 --> 71
C68 --> 79
C69 --> 82
C70 --> 69
C71 --> 65
C72 --> 72
C73 --> 74
C74 --> 65
C75 --> 58
C76 --> 49
C77 --> 51
C78 --> 60
C79 --> 52
C80 --> 52
C81 --> 67
C82 --> 46
C83 --> 52
C84 --> 66
C85 --> 52
C86 --> 52
C87 --> 46
C88 --> 46
C89 --> 59
C90 --> 55
C91 --> 55
C92 --> 46
C93 --> 38
C94 --> 35
C95 --> 44
C96 --> 44
C97 --> 47
C98 --> 51
C99 --> 43
C100 --> 35
