frequency of frequencies:    

C1 --> 15527
C2 --> 4751
C3 --> 2492
C4 --> 1595
C5 --> 1145
C6 --> 864
C7 --> 650
C8 --> 555
C9 --> 426
C10 --> 432
C11 --> 354
C12 --> 336
C13 --> 261
C14 --> 255
C15 --> 237
C16 --> 208
C17 --> 195
C18 --> 164
C19 --> 167
C20 --> 148
C21 --> 138
C22 --> 150
C23 --> 102
C24 --> 114
C25 --> 112
C26 --> 114
C27 --> 90
C28 --> 103
C29 --> 77
C30 --> 84
C31 --> 79
C32 --> 75
C33 --> 80
C34 --> 79
C35 --> 63
C36 --> 61
C37 --> 47
C38 --> 59
C39 --> 56
C40 --> 58
C41 --> 51
C42 --> 68
C43 --> 45
C44 --> 50
C45 --> 54
C46 --> 40
C47 --> 35
C48 --> 39
C49 --> 44
C50 --> 44
C51 --> 38
C52 --> 40
C53 --> 43
C54 --> 32
C55 --> 40
C56 --> 39
C57 --> 45
C58 --> 34
C59 --> 40
C60 --> 34
C61 --> 34
C62 --> 29
C63 --> 21
C64 --> 29
C65 --> 26
C66 --> 28
C67 --> 32
C68 --> 33
C69 --> 21
C70 --> 25
C71 --> 23
C72 --> 30
C73 --> 25
C74 --> 29
C75 --> 24
C76 --> 25
C77 --> 18
C78 --> 21
C79 --> 13
C80 --> 13
C81 --> 19
C82 --> 20
C83 --> 22
C84 --> 17
C85 --> 16
C86 --> 21
C87 --> 22
C88 --> 26
C89 --> 14
C90 --> 23
C91 --> 18
C92 --> 15
C93 --> 15
C94 --> 16
C95 --> 19
C96 --> 11
C97 --> 8
C98 --> 12
C99 --> 12
C100 --> 13
